序號,縣市,統一編號,營業人名稱,營業人地址,稽徵機關,開始適用日期,停止適用日期,營業狀況,接受行動支付工具,行業代號,行業代號名稱,行業代號1,行業代號名稱1,行業代號2,行業代號名稱2,行業代號3,行業代號名稱3,資料集日期
000001,高雄市,00177506,教堂街頭服飾店,高雄市三民區博愛里建國二路１６８號１樓,三民分局,1081230,,營業中,台灣Pay,473299,其他服裝及其配件零售,,,,,,,20211026
000002,高雄市,00239778,崔記茶餐廳,高雄市前鎮區興東里二聖二路６７號,前鎮稽徵所,1090605,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000003,高雄市,00259605,佳亭國際髮型店,高雄市新興區文化路６４之３號１至３樓,新興稽徵所,1081007,,非營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000004,高雄市,00349705,品悅美食店,高雄市大社區大社里中山路２８２－２號,鳳山分局,1090926,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000005,高雄市,00390801,三好小吃店,高雄市楠梓區藍田里藍昌路３６９號,楠梓稽徵所,1090824,,營業中,感應付款-信用卡或金融卡,561112,便當、自助餐店,,,,,,,20211026
000006,高雄市,00652620,岏酷企業社,高雄市岡山區岡山里１８鄰文化街２１號２樓,岡山稽徵所,1081227,,營業中,台灣Pay,620900,其他電腦相關服務,740912,商業設計,,,,,20211026
000007,高雄市,00870225,上鼎藥師健保藥局,高雄市大社區翠屏里中山路４２３號,鳳山分局,1080919,,營業中,台灣Pay,475112,西藥零售,475111,中藥零售,,,,,20211026
000008,高雄市,00871131,吳家紅茶冰,高雄市鳳山區忠義里光復路１段１２５號１樓,鳳山分局,1081107,,營業中,台灣Pay,563200,調理飲料攤販,,,,,,,20211026
000009,基隆市,00927233,宏仁藥局,基隆市安樂區七賢里安樂路２段１３０號,基隆分局,1070627,,營業中,台灣Pay,475112,西藥零售,,,,,,,20211026
000010,基隆市,00946652,凍頂鳳隆興茶莊,基隆市中正區正砂里中正路３４８號,信義稽徵所,1081217,,營業中,台灣Pay,472915,茶葉零售,,,,,,,20211026
000011,臺北市,01067844,西寧市場第１０８１號攤位,臺北市萬華區福星里西寧南路４號１樓,萬華稽徵所,1071204,,營業中,台灣Pay,472927,豆類製品零售,472914,飲料零售,472919,肉鬆、肉乾、火腿、臘味零售,472999,未分類其他食品、飲料及菸草製品零售,20211026
000012,臺北市,01082704,楊麗寶美容院,臺北市中正區黎明里漢口街１段１８號２樓,中正分局,1081029,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000013,臺北市,01107352,紅蘋果食品店,臺北市中正區杭州南路１段１０之３號１樓,中正分局,1090807,,營業中,台灣Pay,561111,早餐店,472914,飲料零售,,,,,20211026
000014,臺北市,01111089,丹麗造型設計名店,臺北市萬華區西門里成都路５４－１號２樓,萬華稽徵所,1080819,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000015,臺北市,01147609,永星車業商行,臺北市大同區民權里錦西街４７號１樓,大同稽徵所,1081015,,營業中,台灣Pay,484314,機車零件、機車百貨零售,484211,全新機車零售,959100,機車維修,,,20211026
000016,臺北市,01226097,花卉營業人（１７０６）,臺北市內湖區湖元里新湖三路２８號,內湖稽徵所,1081005,,營業中,台灣Pay,453211,切花、盆栽批發,,,,,,,20211026
000017,桃園市,01230775,雙林藥師藥局,桃園市平鎮區復興里民族路２段１８７號,中壢稽徵所,1080107,,營業中,台灣Pay,475112,西藥零售,475111,中藥零售,,,,,20211026
000018,桃園市,01230775,雙林藥師藥局,桃園市平鎮區復興里民族路２段１８７號,中壢稽徵所,1100503,,營業中,台灣Pay,475112,西藥零售,475111,中藥零售,,,,,20211026
000019,桃園市,01239826,億鑽美髮院,桃園市中壢區中建里中平路１６０號２樓,中壢稽徵所,1081008,1091223,營業中,台灣Pay,962112,理髮店,,,,,,,20211026
000020,桃園市,01254065,皇品小吃店,桃園市楊梅區四維里四維路１６２、１６６號１樓,楊梅稽徵所,1080604,,非營業中,台灣Pay,561114,連鎖速食店,,,,,,,20211026
000021,臺北市,01287925,陽和茶餐廳,臺北市松山區民權東路３段１６０巷１９弄２號,松山分局,1070827,,非營業中,行動支付,561115,餐館、餐廳,,,,,,,20211026
000022,臺北市,01316323,黃麗真,臺北市中山區農安街２巷１號口,中南稽徵所,1081004,,營業中,台灣Pay,472925,豆類、麥類及其他雜糧零售,,,,,,,20211026
000023,臺北市,01340766,欣濱江商行,臺北市中山區行孝里龍江路３５６巷８２號１樓,中北稽徵所,1081226,,營業中,台灣Pay,474999,未分類其他家用器具及用品零售,485214,紙盒、紙袋零售,,,,,20211026
000024,桃園市,01383005,韓饌軒小吃部,桃園市龜山區大華里復興一路３４２號,桃園分局,1081120,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000025,臺北市,01398056,雄發機車行,臺北市北投區立農里吉利街１１９號１樓,北投稽徵所,1081112,,營業中,台灣Pay,465314,機車零件、機車百貨批發,959100,機車維修,,,,,20211026
000026,桃園市,01408147,愛茉兒實業社,桃園市桃園區寶慶里中埔一街７號１樓,桃園分局,1081211,,非營業中,台灣Pay,475299,其他化粧品零售,,,,,,,20211026
000027,桃園市,01417027,橘媽商行,桃園市八德區大榮里介壽路一段６１７號１樓,桃園分局,1091125,,營業中,台灣Pay,472999,未分類其他食品、飲料及菸草製品零售,487912,非店面零售代理,475299,其他化粧品零售,,,20211026
000028,桃園市,01424505,伯元精品咖啡工作室,桃園市八德區廣興里００８鄰廣福路７８３號,桃園分局,1090130,,營業中,街口支付,472918,咖啡零售,487113,經營網路購物,,,,,20211026
000029,桃園市,01433011,木桌咖啡舖,桃園市桃園區中聖里中山路８４７巷２７號,桃園分局,1081129,,營業中,街口支付,563112,咖啡館,,,,,,,20211026
000030,桃園市,01436988,朵拉早午餐,桃園市中壢區信義里杭州路４２號,中壢稽徵所,1090304,,營業中,台灣Pay,561111,早餐店,,,,,,,20211026
000031,臺北市,01437950,晉昇五金行,臺北市萬華區環河南路１段１２１號１樓,萬華稽徵所,1090713,,營業中,台灣Pay,474999,未分類其他家用器具及用品零售,,,,,,,20211026
000032,桃園市,01454649,季藝企業,桃園市觀音區大潭里０１６鄰保生六路７１號,中壢稽徵所,1081203,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000033,臺北市,01459623,國際釣具行,臺北市中正區師大路１８７號１樓,中正分局,1100923,,營業中,台灣Pay,476213,釣具零售,,,,,,,20211026
000034,臺北市,01460683,千芝女子燙髮院,臺北市中正區頂東里金門街１―３號１樓,中正分局,1081129,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000035,臺北市,01461938,振益材料行,臺北市中正區辛亥路１段２３號１樓,中正分局,1081003,,營業中,台灣Pay,484314,機車零件、機車百貨零售,959100,機車維修,484314,機車零件、機車百貨零售,712100,環境檢測服務,20211026
000036,桃園市,01471154,展弘車業,桃園市中壢區青埔里新生路３段７９３號１樓,中壢稽徵所,1100728,,營業中,台灣Pay,959100,機車維修,,,,,,,20211026
000037,臺北市,01473673,奇美花店,臺北市大安區大學里辛亥路１段３６號１樓,大安分局,1080927,,營業中,台灣Pay,485111,切花、盆栽零售,,,,,,,20211026
000038,臺北市,01475671,優帝行,臺北市中正區同安街７８號,中正分局,1080827,,營業中,台灣Pay,820300,影印服務,901020,藝術評論,,,,,20211026
000039,桃園市,01478403,來來餃子館,桃園市桃園區同德里南平路３８９號,桃園分局,1081008,,非營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000040,臺北市,01485431,情意濃花藝禮坊,臺北市文山區萬年里羅斯福路５段１３０號１樓,文山稽徵所,1071023,,營業中,台灣Pay,485111,切花、盆栽零售,,,,,,,20211026
000041,臺北市,01499245,青絲胡同髮藝名店,臺北市大安區永康里信義路２段１８０號２樓,大安分局,1081106,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000042,桃園市,01517715,寶鴻商行,桃園市八德區大明里０１６鄰桃鶯路１１５號１樓,桃園分局,1091112,,營業中,LINE,472913,菸酒零售,472999,未分類其他食品、飲料及菸草製品零售,,,,,20211026
000043,桃園市,01525172,三好美小吃店,桃園市八德區茄明里中華路７４、７６號,桃園分局,1090421,,營業中,街口支付,561115,餐館、餐廳,472914,飲料零售,,,,,20211026
000044,桃園市,01525497,翔祐小吃店,桃園市楊梅區豐野里民富路三段７７０號１樓,楊梅稽徵所,1090108,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000045,桃園市,01527832,成益機車行,桃園市八德區大漢里東勇街６３號１樓,桃園分局,1081213,,營業中,台灣Pay,959100,機車維修,951199,其他汽車維修,760911,環境顧問服務,,,20211026
000046,桃園市,01529992,主愛美食坊,桃園市中壢區龍平里龍東路８８號１樓,中壢稽徵所,1100909,,營業中,LINE,561111,早餐店,,,,,,,20211026
000047,桃園市,01553063,墩煌豬腳美食,桃園市八德區大竹里和平路５２８巷２０２弄１１７號１樓,桃園分局,1090622,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000048,桃園市,01572012,麥迪森餐飲館,桃園市中壢區普忠里新中北路２４８巷４０號１樓,中壢稽徵所,1081025,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000049,桃園市,01586803,高砂串燒,桃園市龜山區南上里００２鄰南上路４３號,桃園分局,1080719,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000050,臺北市,01598391,順發號蚵仔煎,臺北市信義區吳興街２６９巷５號,信義分局,1090615,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000051,臺北市,01606250,巧登髮廊,臺北市松山區南京東路５段１２３巷４弄２號１樓,松山分局,1081225,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000052,臺北市,01608095,名媛髮型設計名店,臺北市松山區南京東路５段６３號２樓,松山分局,1080821,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000053,桃園市,01631618,匯錸食事坊,桃園市桃園區自強里新埔十街５０號（１樓）,桃園分局,1090422,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000054,臺北市,01650311,儷萊雅美髮沙龍坊,臺北市南港區西新里南港路３段３號２樓,南港稽徵所,1070410,,營業中,台灣Pay,962112,理髮店,,,,,,,20211026
000055,臺北市,01680814,保益新乾洗店,臺北市文山區興隆路１段１８５號１樓,文山稽徵所,1080910,,營業中,台灣Pay,961011,洗衣服務,,,,,,,20211026
000056,臺北市,01685493,順源機車行,臺北市文山區木柵路２段２１７號１樓,文山稽徵所,1081206,,營業中,台灣Pay,484314,機車零件、機車百貨零售,,,,,,,20211026
000057,臺北市,01693108,真好味烤鴨莊,臺北市文山區順興里木新路３段１０８號１樓,文山稽徵所,1081210,,營業中,台灣Pay,472919,肉鬆、肉乾、火腿、臘味零售,,,,,,,20211026
000058,桃園市,01700918,江森車業,桃園市觀音區崙坪里忠愛路３段１５７號１樓,中壢稽徵所,1080828,,營業中,台灣Pay,959100,機車維修,484317,中古汽機車零配件零售,484314,機車零件、機車百貨零售,,,20211026
000059,桃園市,01703555,咪嚕美式早餐店,桃園市中壢區自治里榮安一街３３６號１樓,中壢稽徵所,1071023,1100224,營業中,感應付款-信用卡或金融卡,561111,早餐店,,,,,,,20211026
000060,臺北市,01711106,緣緣髮型造型室,臺北市文山區木新路２段１６１巷６弄１３號１樓,文山稽徵所,1090911,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000061,臺北市,01719851,政大鐘錶眼鏡,臺北市文山區萬興里指南路２段６４號,文山稽徵所,1080724,,營業中,台灣Pay,474411,鐘錶及鐘錶零件零售,474412,眼鏡及其零配件零售,,,,,20211026
000062,桃園市,01731308,喜滋達鐵板燒店,桃園市中壢區興南里大同路３５號２樓,中壢稽徵所,1070828,,營業中,ezPay簡單付,561113,麵店、小吃店,,,,,,,20211026
000063,桃園市,01734993,仟朝車業行,桃園市平鎮區金陵里環南路３段２３５號１樓,中壢稽徵所,1081119,,營業中,台灣Pay,484211,全新機車零售,959100,機車維修,820999,未分類其他行政支援服務,,,20211026
000064,桃園市,01740778,伴桌趣企業社,桃園市大園區田心里００４鄰大觀路２９９號１樓,桃園分局,1080621,,營業中,台灣Pay,859399,其他運動及休閒教育,,,,,,,20211026
000065,臺北市,01751155,華都西服號,臺北市文山區興光里興隆路三段１４７號,文山稽徵所,1100513,,營業中,台灣Pay,959916,衣服修改,,,,,,,20211026
000066,桃園市,01757741,紅門小吃店,桃園市龜山區文化里復興北路１５號１樓,桃園分局,1081115,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000067,臺北市,01828268,時代美容美髮材料行,臺北市士林區大東路１４６號１樓,士林稽徵所,1081118,,營業中,台灣Pay,475299,其他化粧品零售,475214,香水、香粉零售,,,,,20211026
000068,基隆市,01886180,永泰小吃店,基隆市暖暖區暖暖里東勢街４―１０號,七堵稽徵所,1070504,1100512,營業中,街口支付,561113,麵店、小吃店,472914,飲料零售,,,,,20211026
000069,新北市,01921200,茗仁茶莊,新北市土城區中央路２段１３８號,板橋分局,1081227,,營業中,台灣Pay,472915,茶葉零售,,,,,,,20211026
000070,新北市,01930783,遠東大藥局,新北市板橋區南雅南路２段１３２號１樓,板橋分局,1080909,,營業中,台灣Pay,475199,其他藥品及醫療用品零售,475112,西藥零售,,,,,20211026
000071,新北市,02112446,福立贏運彩商行,新北市板橋區長壽里三民路２段１３７號,板橋分局,1081015,,營業中,台灣Pay,920011,彩券銷售,476112,書籍、雜誌零售,,,,,20211026
000072,新北市,02121260,小綠書店,新北市永和區潭安里中正路１５１巷８弄１８號,中和稽徵所,1081101,,營業中,台灣Pay,476112,書籍、雜誌零售,773016,小說、漫畫及雜誌出租,,,,,20211026
000073,新北市,02151307,宸陞企業社,新北市中和區景平里景平路４３８號１樓,中和稽徵所,1080902,,非營業中,台灣Pay,484311,汽車零件、汽車百貨零售,484315,汽車輪胎零售,,,,,20211026
000074,新北市,02151876,合旺彩券行,新北市板橋區福安里合宜路４１號,板橋分局,1081015,,營業中,台灣Pay,920011,彩券銷售,,,,,,,20211026
000075,新北市,02192166,健發機車行,新北市新莊區福壽街１４４號１樓,新莊稽徵所,1090205,,營業中,台灣Pay,484211,全新機車零售,959100,機車維修,712100,環境檢測服務,,,20211026
000076,新北市,02193995,伊諾聖服飾店,新北市三重區中央北路７０號１樓,三重稽徵所,1090401,,營業中,台灣Pay,473211,服裝零售,,,,,,,20211026
000077,新北市,02214458,莉絨美容院,新北市三重區文化里大榮街１號１樓,三重稽徵所,1090309,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000078,新北市,02219720,新豪家俱行,新北市板橋區鄉雲里四川路１段８０號,板橋分局,1091117,,營業中,街口支付,474211,國產家用家具零售,474213,廚櫃零售,,,,,20211026
000079,新北市,02219720,新豪家俱行,新北市板橋區鄉雲里四川路１段８０號,板橋分局,1091208,,營業中,LINE,474211,國產家用家具零售,474213,廚櫃零售,,,,,20211026
000080,新北市,02220584,新正小吃店,新北市新店區中正里中正路２５７號（１樓）,新店稽徵所,1070510,,非營業中,台灣Pay,561112,便當、自助餐店,,,,,,,20211026
000081,新北市,02239893,勝陽機車行,新北市樹林區中華路９０號１樓,板橋分局,1090506,,營業中,台灣Pay,484211,全新機車零售,484314,機車零件、機車百貨零售,,,,,20211026
000082,新北市,02250171,高律企業社,新北市新店區復興里民權路３８號２樓,新店稽徵所,1080620,,營業中,感應付款-信用卡或金融卡,561115,餐館、餐廳,,,,,,,20211026
000083,新北市,02297669,巧聖眼鏡行,新北市汐止區忠孝里工建路４２號,汐止稽徵所,1090305,,營業中,台灣Pay,474412,眼鏡及其零配件零售,,,,,,,20211026
000084,新北市,02301869,龍群文具禮品行,新北市瑞芳區明燈路３段４４號１樓,瑞芳服務處,1080912,,營業中,台灣Pay,485217,手工藝品零售,476111,文具零售,,,,,20211026
000085,新北市,02338036,經元老麵工坊,新北市汐止區福德里福德一路２１３巷７號（１樓）,汐止稽徵所,1090504,,營業中,台灣Pay,472999,未分類其他食品、飲料及菸草製品零售,,,,,,,20211026
000086,新北市,02342159,菁桐天燈館,新北市平溪區菁桐里靜安路二段１４１號,瑞芳服務處,1081210,,營業中,感應付款-信用卡或金融卡,472914,飲料零售,561113,麵店、小吃店,471999,未分類其他綜合商品零售,485299,未分類其他全新商品零售,20211026
000087,新北市,02342159,菁桐天燈館,新北市平溪區菁桐里靜安路二段１４１號,瑞芳服務處,1081226,,營業中,感應付款-信用卡或金融卡,472914,飲料零售,561113,麵店、小吃店,471999,未分類其他綜合商品零售,485299,未分類其他全新商品零售,20211026
000088,新北市,02342159,菁桐天燈館,新北市平溪區菁桐里靜安路二段１４１號,瑞芳服務處,1081231,,營業中,LINE,472914,飲料零售,561113,麵店、小吃店,471999,未分類其他綜合商品零售,485299,未分類其他全新商品零售,20211026
000089,新北市,02342159,菁桐天燈館,新北市平溪區菁桐里靜安路二段１４１號,瑞芳服務處,1090102,,營業中,歐付寶,472914,飲料零售,561113,麵店、小吃店,471999,未分類其他綜合商品零售,485299,未分類其他全新商品零售,20211026
000090,新北市,02342159,菁桐天燈館,新北市平溪區菁桐里靜安路二段１４１號,瑞芳服務處,1090108,,營業中,ezPay簡單付,472914,飲料零售,561113,麵店、小吃店,471999,未分類其他綜合商品零售,485299,未分類其他全新商品零售,20211026
000091,新北市,02343354,香川餐飲,新北市林口區南勢里文化三路一段５８９號,新莊稽徵所,1090817,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000092,新北市,02381384,美果美髮屋,新北市淡水區英專路１０６之５號１樓,淡水稽徵所,1081016,,非營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000093,新北市,02382551,麥之田企業社,新北市永和區中溪里永平路２５０號,中和稽徵所,1070824,,非營業中,街口支付,561115,餐館、餐廳,472999,未分類其他食品、飲料及菸草製品零售,,,,,20211026
000094,新北市,02382927,黑傑克原味炭烤牛排館,新北市新莊區立德里公園路５號（１樓）,新莊稽徵所,1070517,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000095,新北市,02390763,米特食堂,新北市淡水區仁愛街２巷３３號,淡水稽徵所,1090805,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000096,新北市,02406836,吉美屋商行,新北市新莊區新莊路４０３號,新莊稽徵所,1081119,,營業中,台灣Pay,473312,鞋類及其配件（真皮鞋類及其配件除外）零售,,,,,,,20211026
000097,宜蘭縣,02428135,達文堂鎖印店,宜蘭縣冬山鄉義成路３段５２６號,羅東稽徵所,1081001,,營業中,台灣Pay,959917,開鎖及配鎖,969018,刻印章,,,,,20211026
000098,新北市,02429015,翔越髮型名店,新北市蘆洲區仁德里民族路１００號（１樓）,三重稽徵所,1080817,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000099,新北市,02441545,真有味手工養生饅頭店,新北市板橋區漢生里文化路１段１７７號之１,板橋分局,1090611,,營業中,台灣Pay,472999,未分類其他食品、飲料及菸草製品零售,563111,冰果店、冷（熱）飲店,,,,,20211026
000100,新北市,02447344,億全車業,新北市新莊區中港路１７８號（１樓）,新莊稽徵所,1081204,,非營業中,台灣Pay,484211,全新機車零售,959100,機車維修,,,,,20211026
000101,桃園市,02477732,龍泉汽車材料行,桃園市楊梅區金溪里中山北路２段１０７號１樓,楊梅稽徵所,1070419,,營業中,台灣Pay,484311,汽車零件、汽車百貨零售,951199,其他汽車維修,,,,,20211026
000102,桃園市,02480440,佳尚商行,桃園市楊梅區楊梅里新成路１６１號１樓,楊梅稽徵所,1081009,,營業中,台灣Pay,474913,家用排油煙機零售,474111,家用照明設備零售,,,,,20211026
000103,新北市,02498125,元寶寵物美容工作室,新北市板橋區德翠里龍泉街１０８巷３４號,板橋分局,1090821,,非營業中,台灣Pay,969021,寵物照顧及訓練,,,,,,,20211026
000104,新竹縣,02682641,興聯機車行,新竹縣竹北市中華路４５３號,竹北分局,1081009,,營業中,台灣Pay,959100,機車維修,,,,,,,20211026
000105,新竹縣,02688997,水舞汽車美容,新竹縣竹北市泰和里中華路５７４號,竹北分局,1081009,,營業中,台灣Pay,951200,汽車美容,,,,,,,20211026
000106,桃園市,02698833,燈佑美容院,桃園市觀音區崙坪里１１鄰１７８之７號,中壢稽徵所,1080828,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000107,新竹縣,02767704,純文書局,新竹縣關西鎮石光里石岡子４１８號１Ｆ,竹北分局,1081111,,營業中,台灣Pay,476111,文具零售,476112,書籍、雜誌零售,476399,其他玩具及娛樂用品零售,,,20211026
000108,新竹縣,02768464,男女服飾店,新竹縣竹東鎮中正里４鄰東寧路１段３３５號１樓,竹東稽徵所,1081224,,營業中,台灣Pay,473211,服裝零售,959916,衣服修改,,,,,20211026
000109,新竹縣,02784859,佳味餐飲,新竹縣關西鎮北斗里正義路２２２號,竹北分局,1081114,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000110,新北市,02855328,鼎鑫鱻小吃店,新北市三重區田中里中正北路３２６號,三重稽徵所,1080927,,非營業中,LINE,561113,麵店、小吃店,,,,,,,20211026
000111,新竹市,02886933,三好乾洗,新竹市北　區光華里光華一街９號,新竹分局,1081108,,營業中,台灣Pay,961011,洗衣服務,,,,,,,20211026
000112,新竹市,02889447,飛航玩具店,新竹市東　區東門里５鄰東門街１８６號１樓,新竹分局,1080529,,營業中,台灣Pay,476312,玩具（模型玩具除外）零售,,,,,,,20211026
000113,宜蘭縣,02890438,大漁日和,宜蘭縣礁溪鄉德陽村１７鄰奇立丹路１９５巷２９號,宜蘭分局,1080904,,營業中,台灣Pay,551013,民宿,,,,,,,20211026
000114,苗栗縣,02905093,怡人服飾,苗栗縣銅鑼鄉銅鑼村新興路３１鄰３－８號,苗栗分局,1070606,,營業中,感應式,473299,其他服裝及其配件零售,,,,,,,20211026
000115,苗栗縣,02905740,廣林藝品,苗栗縣三義鄉勝興村２２鄰水美路１９２號,苗栗分局,1081120,,營業中,台灣Pay,485218,雕塑品零售,,,,,,,20211026
000116,苗栗縣,02913615,良昇文具行,苗栗縣通霄鎮通西里１３鄰光復路４２號,苗栗分局,1090501,,營業中,台灣Pay,476111,文具零售,476112,書籍、雜誌零售,476299,其他運動用品及器材零售,,,20211026
000117,臺中市,02946566,德鴻茶具行,臺中市北屯區水湳里文心路４段７號,東山稽徵所,1070830,,營業中,台灣Pay,474928,小件家用器皿零售,472915,茶葉零售,,,,,20211026
000118,新北市,02947690,玩皮世界商行,新北市土城區樂利里裕民路９２巷２０號１樓,板橋分局,1081106,,營業中,台灣Pay,473215,皮包、手提包（真皮皮包、手提包除外）零售,,,,,,,20211026
000119,臺中市,02960118,大倉鐘錶眼鏡行,臺中市北屯區平順里大連路３段３號,東山稽徵所,1070531,,營業中,台灣Pay,456512,眼鏡及其零配件批發,969099,未分類其他個人服務,,,,,20211026
000120,臺中市,02960980,宏元皮鞋店,臺中市北屯區平昌里昌平路１段３２－５號１樓,東山稽徵所,1090219,,營業中,台灣Pay,473214,真皮皮包、手提包零售,,,,,,,20211026
000121,臺中市,02963207,祥益眼鏡鐘錶行,臺中市北屯區平昌里昌平路１段３２－４號１樓,東山稽徵所,1090219,,營業中,台灣Pay,474411,鐘錶及鐘錶零件零售,474412,眼鏡及其零配件零售,,,,,20211026
000122,臺北市,04466465,裕發乾洗商店,臺北市大同區朝陽里南京西路１６７巷３之６號１樓,大同稽徵所,1091111,,營業中,台灣Pay,961011,洗衣服務,,,,,,,20211026
000123,臺北市,04854423,三光機車行,臺北市文山區景興路７號,文山稽徵所,1090423,,營業中,台灣Pay,959100,機車維修,484211,全新機車零售,,,,,20211026
000124,臺北市,04981498,大鴻乾洗店,臺北市大安區濟南路３段２４－１號,大安分局,1070904,,營業中,台灣Pay,961011,洗衣服務,,,,,,,20211026
000125,臺北市,05022067,維綸麵食館,臺北市中正區水源里汀州路３段２７９號１樓,中正分局,1081014,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000126,臺北市,05022539,金全城自助餐,臺北市中正區牯嶺街５５號,中正分局,1081106,,營業中,台灣Pay,561111,早餐店,,,,,,,20211026
000127,臺北市,05084823,一本商行,臺北市中正區博愛路１５８號１樓,中正分局,1081230,,營業中,台灣Pay,472112,水果零售,,,,,,,20211026
000128,臺北市,05153692,金鷄園點心店,臺北市中正區羅斯福路３段３１６巷８弄３之１號,中正分局,1080619,,營業中,街口支付,561115,餐館、餐廳,,,,,,,20211026
000129,臺北市,05169054,水源市場一樓第７９攤位,臺北市中正區水源市場１樓７９號,中正分局,1080328,,營業中,悠遊卡,561200,餐食攤販,,,,,,,20211026
000130,臺北市,05170165,水源市場二樓第６１攤位,臺北市中正區水源市場２樓６１號,中正分局,1090807,,營業中,台灣Pay,472999,未分類其他食品、飲料及菸草製品零售,,,,,,,20211026
000131,臺中市,05380438,三佳早點豆漿店,臺中市北　區建興里健行路４３６號１樓,民權稽徵所,1080924,,營業中,台灣Pay,561200,餐食攤販,,,,,,,20211026
000132,臺中市,05456393,的歷玻璃行,臺中市北屯區平福里熱河路３段３６號１樓,東山稽徵所,1071119,,營業中,台灣Pay,959999,其他未分類個人及家庭用品維修,,,,,,,20211026
000133,臺中市,05458821,全國商行,臺中市中　區公園里０２１鄰臺灣大道１段２５８巷２號１樓,民權稽徵所,1081015,,營業中,台灣Pay,472915,茶葉零售,,,,,,,20211026
000134,臺中市,05574223,潮州羅燒酒雞,臺中市西　區民龍里西屯路１段２０２號,民權稽徵所,1070430,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000135,臺中市,05653367,大東海光學眼鏡行,臺中市西屯區何德里西屯路２段３２－１１號,臺中分局,1081225,,營業中,台灣Pay,474412,眼鏡及其零配件零售,456512,眼鏡及其零配件批發,,,,,20211026
000136,臺中市,05662160,德安藥局,臺中市南屯區寶山里忠勇路１１５－６號,臺中分局,1081106,,營業中,感應付款-信用卡或金融卡,475112,西藥零售,,,,,,,20211026
000137,臺中市,05670056,風信子髮廊,臺中市北　區淡溝里民權路４１６號１樓,民權稽徵所,1080124,,營業中,台灣Pay,962111,美髮院及髮廊,475299,其他化粧品零售,,,,,20211026
000138,臺中市,05678655,晉育企業社,臺中市西　區土庫里忠明南路４４７號１樓,民權稽徵所,1081029,,營業中,台灣Pay,620199,其他電腦程式設計,,,,,,,20211026
000139,臺中市,05679459,明昉企業商行,臺中市西　區安龍里自治街１４２號１樓,民權稽徵所,1070403,,營業中,台灣Pay,473211,服裝零售,475299,其他化粧品零售,,,,,20211026
000140,臺中市,05694058,正豐百貨行,臺中市豐原區中山里信義街６７巷３０號,豐原分局,1080822,,營業中,台灣Pay,473211,服裝零售,,,,,,,20211026
000141,臺北市,05711036,中一素食園,臺北市中正區信陽街９號地下－層,中正分局,1081220,,營業中,台灣Pay,561112,便當、自助餐店,,,,,,,20211026
000142,臺中市,05790165,保昇藥局,臺中市大雅區六寶里月祥路９１２號,豐原分局,1080705,,營業中,台灣Pay,475112,西藥零售,,,,,,,20211026
000143,臺中市,05819775,集迪商店,臺中市烏日區榮泉里榮和路３３號,大屯稽徵所,1081217,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000144,臺中市,05822602,億和裝璜行,臺中市大甲區新美里中山路１段８０１號,沙鹿稽徵所,1090226,,營業中,台灣Pay,484311,汽車零件、汽車百貨零售,,,,,,,20211026
000145,臺中市,05825777,富晟水電材料行,臺中市大甲區朝陽里民生路２３號,沙鹿稽徵所,1081029,,營業中,台灣Pay,481014,居家修繕用品零售,,,,,,,20211026
