序號,縣市,統一編號,營業人名稱,營業人地址,稽徵機關,開始適用日期,停止適用日期,營業狀況,接受行動支付工具,行業代號,行業代號名稱,行業代號1,行業代號名稱1,行業代號2,行業代號名稱2,行業代號3,行業代號名稱3,資料集日期
000914,屏東縣,17514448,全峰電動機車行,屏東縣屏東市永城里博愛路２２１號１樓,屏東分局,1080402,,營業中,感應付款-信用卡或金融卡,484211,全新機車零售,484314,機車零件、機車百貨零售,,,,,20211026
000915,臺北市,17515087,歐綺美容工作室,臺北市中正區羅斯福路３段２２２號２樓,中正分局,1081003,,營業中,台灣Pay,969011,美姿禮儀造型設計,,,,,,,20211026
000916,臺中市,17564755,禾茂茶莊,臺中市西屯區至善里至善路５１號１樓,臺中分局,1080917,,營業中,台灣Pay,472915,茶葉零售,472999,未分類其他食品、飲料及菸草製品零售,474311,寢具零售,474999,未分類其他家用器具及用品零售,20211026
000917,臺南市,17575958,小虎烤鴨莊,臺南市安南區理想里海佃路２段４２６號,安南稽徵所,1070913,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000918,臺南市,17577246,連恩小吃店,臺南市北　區振興里開元路１３８號１樓,臺南分局,1081021,,營業中,台灣Pay,561112,便當、自助餐店,,,,,,,20211026
000919,新北市,17616402,愛沙妮亞美容用品專賣店,新北市淡水區中山北路１段１９４號１樓,淡水稽徵所,1100310,,營業中,台灣Pay,475299,其他化粧品零售,,,,,,,20211026
000920,新北市,17616557,視佳眼鏡行,新北市板橋區長安里００１鄰長安街３３１巷１０號（１樓）,板橋分局,1090518,,營業中,台灣Pay,474412,眼鏡及其零配件零售,475113,醫療耗材零售,,,,,20211026
000921,高雄市,17639046,高苑汽車電機冷氣行,高雄市前鎮區西甲里一德路３５號１樓,前鎮稽徵所,1081202,,營業中,台灣Pay,484311,汽車零件、汽車百貨零售,484312,汽車音響零售,484313,汽車冷氣零售,951199,其他汽車維修,20211026
000922,高雄市,17648663,陳思帆美學坊,高雄市三民區安寧里寧夏街３巷２號,三民分局,1091229,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000923,高雄市,17654290,吉記港式燒臘店,高雄市前鎮區西山里復興三路１０６―１號,前鎮稽徵所,1081014,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000924,桃園市,17684061,中品小吃館,桃園市龍潭區富林里龍吟街８巷２２號,大溪稽徵所,1070705,,非營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000925,臺北市,17739278,太陽玫瑰剪燙造型名店,臺北市北投區榮華里明德路１３４號１樓,北投稽徵所,1081014,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000926,臺北市,17739299,明留美容院,臺北市北投區吉慶里實踐街４０號１樓,北投稽徵所,1081014,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000927,臺北市,17742436,客來小吃店,臺北市北投區裕民里懷德街２７號,北投稽徵所,1100915,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000928,臺北市,17765887,泓億小吃店,臺北市中山區朱馥里興安街７８－１３號１樓,中北稽徵所,1091026,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000929,臺中市,17776527,東駿汽車修配廠,臺中市大里區長榮里西榮路１９７號１樓,大屯稽徵所,1071127,,營業中,台灣Pay,951199,其他汽車維修,,,,,,,20211026
000930,臺中市,17782268,全民眼鏡行,臺中市潭子區甘蔗里勝利路２８８號１樓,豐原分局,1070516,,營業中,台灣Pay,474412,眼鏡及其零配件零售,475113,醫療耗材零售,,,,,20211026
000931,新北市,17805662,撒哈拉花坊,新北市板橋區溪福里溪城路８７號１樓,板橋分局,1090102,,營業中,台灣Pay,474399,其他家飾品零售,485113,花卉材料、園藝器具零售,,,,,20211026
000932,新北市,17815177,錦鴻行,新北市永和區中興街３７號１樓,中和稽徵所,1080909,,營業中,台灣Pay,473999,未分類其他服飾品零售,,,,,,,20211026
000933,新北市,17821179,亞鑽前衛剪燙名店,新北市中和區圓通路１８５號,中和稽徵所,1091202,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000934,新北市,17824078,嘉成機車行,新北市新店區德安里安康路２段２７８號,新店稽徵所,1081001,,營業中,台灣Pay,484211,全新機車零售,484314,機車零件、機車百貨零售,,,,,20211026
000935,臺南市,17827286,瑪騏朵工作室,臺南市中西區光賢里中華西路２段６６０號１樓,臺南分局,1080906,,營業中,感應付款-信用卡或金融卡,457299,其他化粧品批發,475299,其他化粧品零售,,,,,20211026
000936,臺南市,17828736,小朋友皮鞋店,臺南市新營區永平里中山路２０１號,新營分局,1070817,,營業中,台灣Pay,473311,真皮鞋類及其配件零售,473312,鞋類及其配件（真皮鞋類及其配件除外）零售,,,,,20211026
000937,臺南市,17832909,智廬工藝社,臺南市佳里區忠仁里博愛街１１１號,佳里稽徵所,1070815,,營業中,台灣Pay,485311,中古藝術品零售,485218,雕塑品零售,,,,,20211026
000938,臺南市,17842890,亞諾囍餅蛋糕,臺南市下營區下營里中正南路９號１樓,新營分局,1100906,,營業中,台灣Pay,472922,西點麵包零售,,,,,,,20211026
000939,桃園市,17893243,大億機車行,桃園市中壢區正義里中北路２段３７５號１樓,中壢稽徵所,1081219,,營業中,台灣Pay,959100,機車維修,,,,,,,20211026
000940,臺東縣,17906704,鹿嵿記休閒茶莊,臺東縣鹿野鄉龍田村龍馬路２５１巷１０號,臺東分局,1070514,,營業中,台灣Pay,472915,茶葉零售,551013,民宿,,,,,20211026
000941,臺東縣,17914107,三源電器行,臺東縣臺東市自強里新生路４１６號,臺東分局,1070813,,營業中,感應付款-信用卡或金融卡,952312,家用電器維修,952311,視聽電子產品維修,485399,其他中古商品（汽機車及其零配件除外）零售,481014,居家修繕用品零售,20211026
000942,臺東縣,17918899,池畔驛站,臺東縣池上鄉福原村仁愛路３２０號,臺東分局,1071001,,營業中,感應付款-信用卡或金融卡,559099,未分類其他住宿,,,,,,,20211026
000943,臺東縣,17920332,新發海產店,臺東縣成功鎮忠智里１９鄰中華路１９３號１樓,臺東分局,1080313,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000944,臺東縣,17924739,忠義禮儀社,臺東縣臺東市豐田里中興路四段６５１巷２４弄１０號,臺東分局,1090224,,營業中,台灣Pay,963099,其他殯葬服務,,,,,,,20211026
000945,宜蘭縣,17928340,法本烘焙屋,宜蘭縣蘇澳鎮蘇西里中山路１段２１０號,羅東稽徵所,1090620,,非營業中,台灣Pay,472922,西點麵包零售,,,,,,,20211026
000946,宜蘭縣,17932822,悟饕美食部員山分店,宜蘭縣員山鄉員山村員山路一段１９２號一樓,宜蘭分局,1090422,,營業中,台灣Pay,561112,便當、自助餐店,,,,,,,20211026
000947,宜蘭縣,17939563,衣湉精品服飾,宜蘭縣羅東鎮仁和里中山路三段１３７號,羅東稽徵所,1081217,,營業中,台灣Pay,473211,服裝零售,,,,,,,20211026
000948,宜蘭縣,17941717,悟饕美食部礁溪分店,宜蘭縣礁溪鄉德陽村０１３鄰礁溪路五段５巷１號１樓,宜蘭分局,1090422,,營業中,台灣Pay,561112,便當、自助餐店,,,,,,,20211026
000949,宜蘭縣,17942693,悟饕美食部渭水分店,宜蘭縣宜蘭市民權里７鄰中山路２段１１７號１樓,宜蘭分局,1090423,,營業中,台灣Pay,561112,便當、自助餐店,472929,餐盒零售,,,,,20211026
000950,宜蘭縣,17944313,庄腳所在,宜蘭縣員山鄉枕山村坡城路６９－９號,宜蘭分局,1070829,,營業中,台灣Pay,551012,旅館,561115,餐館、餐廳,,,,,20211026
000951,臺南市,17965436,鳳壽司企業社,臺南市東　區東光里東寧路３８３號１樓,臺南分局,1090930,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000952,臺中市,17989129,鴻陽機車行,臺中市南　區南門里忠明南路１２１７號１樓,大智稽徵所,1090117,,營業中,台灣Pay,484211,全新機車零售,484314,機車零件、機車百貨零售,959100,機車維修,,,20211026
000953,臺北市,18043537,文德藥局,臺北市中山區行仁里龍江路３５６巷１９號１樓,中北稽徵所,1100625,,營業中,台灣Pay,475112,西藥零售,487113,經營網路購物,,,,,20211026
000954,花蓮縣,18053181,悟饕美食部,花蓮縣光復鄉大華村２鄰中正路１段９５號,花蓮分局,1090305,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000955,花蓮縣,18062365,北埔小吃店,花蓮縣新城鄉北埔村２４鄰北埔路２３１號１樓,花蓮分局,1090406,,營業中,台灣Pay,561112,便當、自助餐店,,,,,,,20211026
000956,花蓮縣,18063272,饗饕美食部,花蓮縣瑞穗鄉瑞穗村４鄰中山路１段６５號,玉里稽徵所,1090306,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000957,新北市,18067832,南楓廣播節目製作社,新北市三重區福田里三民街３００巷８弄２８號１樓,三重稽徵所,1081218,,營業中,台灣Pay,592014,廣播節目製作及發行,601011,廣播電台經營,472999,未分類其他食品、飲料及菸草製品零售,474999,未分類其他家用器具及用品零售,20211026
000958,新北市,18078818,祥安大藥局,新北市土城區延和里立德路４２―１號１樓,板橋分局,1080909,,營業中,台灣Pay,475111,中藥零售,475112,西藥零售,,,,,20211026
000959,新北市,18079458,本田機車行,新北市三重區仁愛街６９３號１樓,三重稽徵所,1070402,,營業中,台灣Pay,465314,機車零件、機車百貨批發,959100,機車維修,484211,全新機車零售,,,20211026
000960,新北市,18079458,本田機車行,新北市三重區仁愛街６９３號１樓,三重稽徵所,1090508,,營業中,台灣Pay,465314,機車零件、機車百貨批發,959100,機車維修,484211,全新機車零售,,,20211026
000961,高雄市,18110654,懶女人女衣商行,高雄市前金區榮復里自強三路２４３號１樓,鹽埕稽徵所,1070509,,營業中,感應付款-信用卡或金融卡,473999,未分類其他服飾品零售,,,,,,,20211026
000962,高雄市,18122574,潘二服飾,高雄市新興區振成里文橫二路１６１號,新興稽徵所,1100827,,營業中,台灣Pay,473211,服裝零售,,,,,,,20211026
000963,南投縣,18127114,埔里肉鬆行,南投縣埔里鎮南門里７鄰南盛街１１０號,埔里稽徵所,1090428,,營業中,台灣Pay,472919,肉鬆、肉乾、火腿、臘味零售,,,,,,,20211026
000964,南投縣,18130547,麗鉅汽車美容,南投縣草屯鎮山腳里虎山路６４０號,南投分局,1090707,,營業中,台灣Pay,951200,汽車美容,,,,,,,20211026
000965,南投縣,18131264,祥順贈品商行,南投縣南投市平和里１鄰中興路５０６―４號,南投分局,1081227,,營業中,台灣Pay,485299,未分類其他全新商品零售,,,,,,,20211026
000966,南投縣,18133805,鋒達汽車鈑金,南投縣竹山鎮延和里集山路３段５０９號,竹山稽徵所,1081105,,營業中,台灣Pay,951199,其他汽車維修,484311,汽車零件、汽車百貨零售,524900,其他陸上運輸輔助,,,20211026
000967,南投縣,18138631,易鼎咖啡簡餐茶坊,南投縣水里鄉鉅工村８鄰民生路２７６號１樓,南投分局,1090325,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000968,屏東縣,18145458,鼎昌號,屏東縣萬丹鄉萬生村萬壽路２段１６６號,屏東分局,1100527,,營業中,台灣Pay,563111,冰果店、冷（熱）飲店,,,,,,,20211026
000969,屏東縣,18151887,華冠帽蓆行,屏東縣屏東市大同里中正路１１５－２號,屏東分局,1100902,,營業中,台灣Pay,473217,帽子零售,,,,,,,20211026
000970,屏東縣,18152302,嘉興超市,屏東縣枋山鄉加祿村嘉和４７號,恆春稽徵所,1100826,,營業中,台灣Pay,472913,菸酒零售,474999,未分類其他家用器具及用品零售,472999,未分類其他食品、飲料及菸草製品零售,,,20211026
000971,屏東縣,18152302,嘉興超市,屏東縣枋山鄉加祿村嘉和４７號,恆春稽徵所,1100909,,營業中,LINE,472913,菸酒零售,474999,未分類其他家用器具及用品零售,472999,未分類其他食品、飲料及菸草製品零售,,,20211026
000972,屏東縣,18159136,阿漢私廚,屏東縣屏東市永城里必勝巷４號,屏東分局,1101014,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000973,屏東縣,18159683,永豐輪胎行,屏東縣枋寮鄉天時村公正路１０巷１３號,潮州稽徵所,1080924,,營業中,感應付款-信用卡或金融卡,484315,汽車輪胎零售,,,,,,,20211026
000974,屏東縣,18161301,翊芳專業美容工作室,屏東縣里港鄉永春村永春路６０號,屏東分局,1071213,,營業中,台灣Pay,962111,美髮院及髮廊,475299,其他化粧品零售,473999,未分類其他服飾品零售,,,20211026
000975,桃園市,18169922,俊傑車業行,桃園市大溪區興和里１０鄰康莊路９９－１號１樓,大溪稽徵所,1081114,,營業中,台灣Pay,484211,全新機車零售,,,,,,,20211026
000976,桃園市,18172291,元元花坊,桃園市龍潭區富林里民生路２１２號１樓,大溪稽徵所,1081115,,營業中,台灣Pay,485111,切花、盆栽零售,,,,,,,20211026
000977,桃園市,18175706,均展飲食店,桃園市龍潭區中山里中正路４８號１樓,大溪稽徵所,1070528,,營業中,台灣Pay,472929,餐盒零售,,,,,,,20211026
000978,桃園市,18178540,昌億眼鏡行,桃園市大園區大園里９鄰中正東路２―２號１樓,桃園分局,1081212,,營業中,台灣Pay,474412,眼鏡及其零配件零售,,,,,,,20211026
000979,澎湖縣,18230047,菊子紅了新鮮舖,澎湖縣馬公市長安里光明路３４號,澎湖分局,1070525,,營業中,台灣Pay,472999,未分類其他食品、飲料及菸草製品零售,,,,,,,20211026
000980,新北市,18263757,德旺食品行,新北市三重區車路頭街１４號,三重稽徵所,1080917,,營業中,台灣Pay,472922,西點麵包零售,,,,,,,20211026
000981,新北市,18264475,天天美容美髮材料精品店,新北市板橋區館前西路５７號,板橋分局,1080218,,營業中,台灣Pay,475299,其他化粧品零售,,,,,,,20211026
000982,新北市,18273782,麥格專業烘焙坊,新北市新店區雙城里安康路３段１９３號,新店稽徵所,1070703,,營業中,街口支付,472922,西點麵包零售,472914,飲料零售,731099,其他廣告服務,487113,經營網路購物,20211026
000983,嘉義市,18284471,渝溱美容用品店,嘉義市西　區光路里世賢路４段１０６號１樓,嘉義市分局,1081219,,營業中,台灣Pay,475299,其他化粧品零售,962299,其他美容美體服務,,,,,20211026
000984,嘉義市,18292248,元生補湯小吃店,嘉義市東　區蘭潭里大雅路２段５７９號１樓,嘉義市分局,1090716,,營業中,台灣Pay,561115,餐館、餐廳,,,,,,,20211026
000985,基隆市,18295511,黃秋燕美容工作室,基隆市仁愛區博愛里愛二路３６號２樓,基隆分局,1090306,,營業中,台灣Pay,962111,美髮院及髮廊,475299,其他化粧品零售,,,,,20211026
000986,基隆市,18302718,宣騰莊麵食館,基隆市七堵區開元路９６號,七堵稽徵所,1070522,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000987,基隆市,18310323,茹茹小吃店,基隆市信義區義昭里信一路７１號１樓,信義稽徵所,1091113,,營業中,台灣Pay,561111,早餐店,,,,,,,20211026
000988,臺中市,18323072,大翰文化事業商社,臺中市沙鹿區洛泉里光華路２６３號１樓,沙鹿稽徵所,1071011,,營業中,台灣Pay,476111,文具零售,476112,書籍、雜誌零售,476299,其他運動用品及器材零售,476312,玩具（模型玩具除外）零售,20211026
000989,雲林縣,18338005,多品屋專業烘焙,雲林縣斗六市仁愛里成功路１０７號,雲林分局,1080926,,營業中,台灣Pay,472922,西點麵包零售,,,,,,,20211026
000990,雲林縣,18348334,傑克男飾,雲林縣虎尾鎮中山里仁愛路５０號,虎尾稽徵所,1070501,,營業中,台灣Pay,473211,服裝零售,455211,服裝批發,473299,其他服裝及其配件零售,473999,未分類其他服飾品零售,20211026
000991,臺中市,18363812,哈佛眼鏡行,臺中市北屯區仁和里四平路４５５號１樓,東山稽徵所,1070814,,營業中,台灣Pay,484311,汽車零件、汽車百貨零售,474412,眼鏡及其零配件零售,,,,,20211026
